"序号","名称","类型","归类","状态","一句话介绍","安装路径","浏览链接","标签","录入","排期"
"1","公众号「我与AI的那些事」","公众号","案例","运营中","以云崽为主角，记录 AI 实践与 WorkBuddy 用法","微信公众号平台（无本地文件）","","内容,AI","已录入","—"
"2","云崽微信表情包","表情包","案例","进行中","办公族主题·泡泡玛特潮玩风，即梦 4.0 出图","D:/workBuddy_place/Img_Place/即梦4 + skill jimeng-image-gen","","IP,即梦","已录入","—"
"3","MBTI 人格测评站","自研工具","工具","已上线","44 题 / 16 型 / 4 维度，单文件 index.html","D:/workBuddy_place/Software Engineering/mbti-assessment","https://github.com/juziqishui11/Workbuddy_Place","MBTI,单文件","已录入","—"
"4","2048 小游戏","自研工具","工具","已上线","纯前端小游戏，含动画与最高分","D:/workBuddy_place/game_palce/2048","https://github.com/juziqishui11/Workbuddy_Place","游戏","已录入","—"
"5","个人工作任务台（本站）","WB案例","案例","进行中","9 大分区单文件工作台：任务/项目/知识/学习/技能/文档/工具/复盘/方向","D:/workBuddy_place/Workbench（index.html）","","WorkBuddy,工作台","已录入","—"
"6","知识库集成（IMA+Obsidian）","WB案例","案例","进行中","目录树+知识图谱；V4.8 重扫 63 文件、FR 布局","站点 85-docs.js + tools/obsidian-scan.mjs；仓库 D:/workBuddy_place/Obsidian_Place","https://ima.qq.com","Obsidian,图谱","未录入(合并)","—"
"7","WorkBuddy_Place 多项目仓库","自研工具","工具","进行中","GitHub monorepo：MBTI 技能 / Personal_Website / 2048","GitHub juziqishui11/Workbuddy_Place","https://github.com/juziqishui11/Workbuddy_Place","GitHub,monorepo","未录入","—"
"8","FDE 90天学习网站","自研工具","工具","进行中","12 周 / 90 天 / 45 练习 / 54 词条 单文件站","站点内置模块 71-fde-data.js + tools/fde-sync.mjs","","学习,FDE","未录入","—"
"9","AI资讯+技能推荐+WB案例库","自研工具","工具","已上线","站点内置多模块（aihot / 技能库 / WB案例快照）","站点 src/js + skill aihot","","资讯,技能","未录入","—"
"10","pushplus-wechat 等自研技能","自研工具","工具","已上线","WorkBuddy skill 开发（微信推送等）","C:/Users/EDY/.workbuddy/skills/pushplus-wechat","","skill","未录入","—"
"11","模型 TOKEN 消耗看板","自研工具","工具","已上线","token-dashboard skill：KPI/日历热力图/模型分布/三级下钻","C:/Users/EDY/.workbuddy/skills/token-dashboard","","token,看板","未录入","—"
"12","本机资源监控看板（CPU/内存/FPS）","自研工具","工具","待构建","新建 skill 例子（A方案）：本地采整机指标→离线看板，可定时刷新","C:/Users/EDY/.workbuddy/skills/sys-resource-dashboard（待建）","","监控,系统","未录入(待建)","—"
"13","AI 图片/视频生成","自研工具","工具","进行中","即梦 4.0 出图 + seedance 出视频","skill jimeng-image-gen + seedance-video-gen；出图 D:/workBuddy_place/Img_Place/即梦4","","即梦,视频","未录入","—"
"14","聊天记录→摘要→知识库","自研工具","工具","待验证","群聊摘要(baoyu-wechat-summary)+IMA导入(ima-kb)，链路可行未跑通","C:/Users/EDY/.workbuddy/skills/baoyu-wechat-summary + ima-kb","","群聊,知识库","未录入","—"
"15","本地 MySQL 8.0 安装与配置","自研工具","工具","已上线","mysql-local skill 托管，端口 3306 开机自启","C:/Users/EDY/.workbuddy/skills/mysql-local；D:/MySQL/MySQL80","","MySQL,数据库","未录入","—"
"16","AI日报/资讯 搜集与生成","自研工具","工具","已上线","aihot 抓热点 + 站点资讯/公众号推送","C:/Users/EDY/.workbuddy/skills/aihot + 站点 AI资讯模块","","资讯,日报","未录入","—"
